Name,Year Published,Users Rated,Owned Users,Complexity Average,Mechanics
Cheater,1995.0,191,482.0,1.06,Set Collection
Jumanji,1995.0,1007,2846.0,1.45,"Cooperative Game, Roll / Spin and Move"
Rules of the Game,1995.0,46,126.0,1.43,Roll / Spin and Move
Bethump'd with Words,1995.0,51,130.0,2.0,"Dice Rolling, Roll / Spin and Move"
Star Wars: Death Star Assault Game,1995.0,63,270.0,1.25,
Are You Afraid of the Dark?,1995.0,36,125.0,1.71,"Area Movement, Roll / Spin and Move"
Trivial Pursuit: Genus (2) Edition (German),1995.0,40,101.0,1.75,Roll / Spin and Move
Nomadi,1995.0,52,117.0,0.0,Roll / Spin and Move
Tashkent Domino,1995.0,38,102.0,1.0,Tile Placement
Tor,1995.0,47,90.0,1.2,Simultaneous Action Selection
Bombs Away,1995.0,34,175.0,2.0,"Card Drafting, Events, Hand Management, Team-Based Game"
UNO Madness,1995.0,30,110.0,1.5,Tile Placement
Bob the Builder: Scoop's Construction Site Game,1995.0,34,67.0,1.0,
Totem,1995.0,118,287.0,2.5,
Ultimate Combat!,1995.0,60,131.0,2.0,
Act One,1995.0,98,229.0,1.29,"Acting, Dice Rolling"
Spawn: The Game,1995.0,30,112.0,0.0,"Action Points, Tile Placement"
Canaletto,1995.0,98,310.0,1.83,Auction/Bidding
Wing Commander,1995.0,41,83.0,2.0,
Frog Juice,1995.0,539,1463.0,1.22,"Matching, Set Collection"
Two Player Brick by Brick,1995.0,74,210.0,1.0,"Cooperative Game, Pattern Building, Pattern Recognition, Simultaneous Action Selection, Team-Based Game"
My First Rummikub,1995.0,62,217.0,1.33,"Hand Management, Pattern Recognition"
Tempest of the Gods,1995.0,31,86.0,2.67,
Damn the Torpedoes!,1995.0,37,85.0,1.33,Hand Management
Shoot Out,1995.0,128,392.0,1.19,Dice Rolling
The Dinosaur Game: Survival or Extinction,1995.0,58,123.0,1.88,"Point to Point Movement, Roll / Spin and Move, Variable Player Powers"
Rainbows,1995.0,74,205.0,1.6,
Fantasy Adventures,1995.0,38,86.0,2.0,
Blanko,1995.0,34,98.0,1.0,Tile Placement
Personality,1995.0,78,143.0,1.14,
Atmosfear: The Harbingers,1995.0,492,1072.0,1.98,Modular Board
Eagles of the Empire: Friedland,1995.0,53,224.0,3.0,"Area-Impulse, Dice Rolling"
Knights of Charlemagne,1995.0,678,990.0,1.43,"Hand Management, Set Collection, Team-Based Game"
"Yom Kippur: The Battle for the Sinai, October, 1973",1995.0,349,1264.0,2.58,"Dice Rolling, Hexagon Grid, Simulation, Zone of Control"
Foppen,1995.0,409,402.0,1.63,"Hand Management, Trick-taking"
1825 Unit 1,1995.0,287,480.0,3.58,"Modular Board, Network and Route Building, Stock Holding"
Blink,1995.0,1855,3822.0,1.07,Pattern Recognition
Silent Death: The Next Millennium Deluxe Edition,1995.0,189,489.0,3.0,"Critical Hits and Failures, Dice Rolling, Hexagon Grid, Variable Player Powers"
Quixo,1995.0,769,1596.0,1.61,"Pattern Building, Tile Placement"
Sternenhimmel,1995.0,348,448.0,2.08,"Area Majority / Influence, Auction/Bidding"
Achtung: Spitfire!,1995.0,208,599.0,4.06,"Dice Rolling, Grid Movement, Hexagon Grid, Scenario / Mission / Campaign Game, Simulation, Team-Based Game, Three Dimensional Movement, Variable Set-up"
In their Quiet Fields II,1995.0,182,704.0,3.13,Hexagon Grid
The Stock Car Championship Racing Card Game,1995.0,220,279.0,2.14,Race
The Mole in the Hole,1995.0,896,1520.0,1.29,"Map Reduction, Modular Board"
Hattrick,1995.0,293,488.0,1.59,Trick-taking
Kult,1995.0,220,357.0,2.52,Variable Player Powers
"Black Wednesday: The Battle of Krasni Bor, 10-11 Feb 1943",1995.0,165,696.0,3.5,"Dice Rolling, Hexagon Grid, Simulation"
Hube's Pocket,1995.0,134,422.0,3.67,"Dice Rolling, Hexagon Grid, Simulation"
"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",1995.0,150,727.0,3.39,Hexagon Grid
Typhoon!,1995.0,123,467.0,4.13,"Dice Rolling, Hexagon Grid, Simulation"
Martian Chess,1995.0,232,396.0,2.52,Grid Movement
Rage,1995.0,573,958.0,2.35,
Simply Cosmic,1995.0,226,596.0,2.76,Variable Player Powers
Guardians,1995.0,275,518.0,2.67,Secret Unit Deployment
